EbN0,BER
0,0.07865
0.11811,0.075847
0.23622,0.073084
0.35433,0.070362
0.47244,0.067684
0.59055,0.06505
0.70866,0.062462
0.82677,0.059921
0.94488,0.057428
1.063,0.054986
1.1811,0.052594
1.2992,0.050255
1.4173,0.047969
1.5354,0.045738
1.6535,0.043562
1.7717,0.041442
1.8898,0.039379
2.0079,0.037374
2.126,0.035428
2.2441,0.03354
2.3622,0.031712
2.4803,0.029944
2.5984,0.028236
2.7165,0.026588
2.8346,0.025
2.9528,0.023473
3.0709,0.022005
3.189,0.020597
3.3071,0.019249
3.4252,0.017959
3.5433,0.016728
3.6614,0.015554
3.7795,0.014437
3.8976,0.013376
4.0157,0.01237
4.1339,0.011417
4.252,0.010518
4.3701,0.0096693
4.4882,0.0088709
4.6063,0.0081212
4.7244,0.0074186
4.8425,0.0067617
4.9606,0.0061487
5.0787,0.0055781
5.1969,0.0050482
5.315,0.0045572
5.4331,0.0041035
5.5512,0.0036852
5.6693,0.0033007
5.7874,0.0029481
5.9055,0.0026257
6.0236,0.0023317
6.1417,0.0020644
6.2598,0.0018221
6.378,0.0016032
6.4961,0.001406
6.6142,0.001229
6.7323,0.0010705
6.8504,0.00092923
6.9685,0.00080367
7.0866,0.0006925
7.2047,0.00059443
7.3228,0.00050825
7.4409,0.00043282
7.5591,0.00036706
7.6772,0.00030997
7.7953,0.00026062
7.9134,0.00021815
8.0315,0.00018176
8.1496,0.00015072
8.2677,0.00012438
8.3858,0.00010213
8.5039,8.3428e-05
8.622,6.7795e-05
8.7402,5.4793e-05
8.8583,4.4039e-05
8.9764,3.5194e-05
9.0945,2.7961e-05
9.2126,2.2081e-05
9.3307,1.7329e-05
9.4488,1.3514e-05
9.5669,1.047e-05
9.685,8.0572e-06
9.8031,6.1579e-06
9.9213,4.673e-06
10.039,3.5204e-06
10.157,2.6323e-06
10.276,1.9532e-06
10.394,1.4378e-06
10.512,1.0499e-06
10.63,7.6027e-07
10.748,5.4584e-07
10.866,3.8845e-07
10.984,2.7395e-07
11.102,1.9141e-07
11.22,1.3247e-07
11.339,9.0785e-08
11.457,6.1591e-08
11.575,4.1355e-08
11.693,2.7473e-08
11.811,1.8052e-08
11.929,1.173e-08
12.047,7.5338e-09
12.165,4.7818e-09
12.283,2.9983e-09
12.402,1.8566e-09
12.52,1.1349e-09
12.638,6.8463e-10
12.756,4.0743e-10
12.874,2.391e-10
12.992,1.3832e-10
13.11,7.8845e-11
13.228,4.4268e-11
13.346,2.447e-11
13.465,1.3312e-11
13.583,7.1238e-12
13.701,3.7484e-12
13.819,1.9384e-12
13.937,9.8465e-13
14.055,4.911e-13
14.173,2.4037e-13
14.291,1.154e-13
14.409,5.4308e-14
14.528,2.5042e-14
14.646,1.1307e-14
14.764,4.9967e-15
14.882,2.1596e-15
15,9.124e-16
